date,activity_id,title,distance_km,duration_min,elevation_m,avg_hr,max_hr,avg_power,max_power,np_strava,np_calculated,intensity_factor,tss,kilojoules,kcal_from_kj,variability_index,cardiac_decoupling,wprime_min_pct,wprime_critical_min,suffer_score,pr_count,z1_pct,z2_pct,z3_pct,z4_pct,z5_pct,z6_pct,z7_pct,p5s,p30s,p1min,p2min,p5min,p8min,p20min,p30min,hrrc_bpm,np_device
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,150.51,292.4,1055.0,142.2,179.0,198.2,921.0,218.0,235.3,0.784,299.2,3462.6,828,0.988,2.9,0.0,28.2,257.0,174.0,27.8,26.7,23.8,10.6,4.7,4.6,1.9,826,521,391,338,327,306,253,235.0,,
2026-01-04,16929931488,Another ride with Francois = another rinsing,136.12,250.2,717.0,135.2,167.0,187.8,940.0,210.0,227.7,0.759,239.6,2808.7,671,1.069,9.2,0.0,18.4,157.0,66.0,36.6,26.5,17.1,8.9,5.0,4.4,1.5,858,603,359,323,277,265,255,250.0,,
2026-01-06,16950468244,Tempo Tuesdays 🥳,52.74,92.7,150.0,139.4,177.0,196.0,814.0,215.0,235.7,0.786,95.2,1087.5,260,1.035,15.3,0.0,35.9,72.0,18.0,36.9,26.5,11.7,8.0,6.1,6.7,4.1,776,475,388,332,321,300,255,240.0,,
2026-01-07,16962475383,Wet n Wild Wednesdays,61.71,118.0,94.0,105.1,134.0,123.9,603.0,133.0,145.4,0.485,46.5,883.7,211,1.001,-7.7,72.7,0.0,19.0,6.0,70.3,18.7,5.9,2.6,1.1,1.0,0.3,567,360,290,208,159,154,141,140.0,,
2026-01-10,16995725590,Sweaty single file Saturdays with the Quantum lads,152.9,237.3,953.0,156.0,183.0,212.6,802.0,239.0,257.8,0.859,292.1,3032.6,725,1.051,3.8,0.0,120.1,393.0,175.0,36.7,15.4,12.0,11.4,8.9,9.8,5.8,700,499,453,369,294,282,259,253.0,,
2026-01-11,17006923180,Sensible ✅,71.67,135.1,115.0,125.9,172.0,181.9,796.0,193.0,204.3,0.681,104.4,1466.6,351,1.039,-2.5,65.1,0.0,45.0,15.0,30.3,46.9,12.6,5.6,2.7,1.2,0.7,616,427,352,332,302,266,223,215.0,,
2026-01-13,17028713992,Tempo Tuesday with a sprinkle of Quantum and Mavericks ☕️,51.96,88.6,149.0,147.3,178.0,210.6,978.0,241.0,264.6,0.882,115.1,1112.1,266,1.099,6.9,0.0,46.1,105.0,12.0,39.9,15.7,11.4,8.0,8.7,9.6,6.7,888,561,414,385,329,310,271,264.0,,
2026-01-14,17041049851,Wednesdays 😍,61.0,114.8,87.0,112.0,144.0,150.6,503.0,158.0,170.6,0.569,62.1,1032.4,247,1.031,-0.9,91.1,0.0,21.0,7.0,52.1,31.8,10.8,3.2,1.3,0.7,0.2,431,293,238,231,224,210,185,175.0,,
2026-01-15,17052928837,Punchy on the climbs,43.3,94.0,424.0,124.0,178.0,158.9,1060.0,222.0,250.2,0.834,108.8,894.2,214,1.201,4.5,0.0,18.9,40.0,58.0,56.0,16.4,8.3,5.7,3.4,4.9,5.3,992,517,486,460,347,252,206,207.0,,
2026-01-17,17075875630,Easy Lovely SG,76.91,154.2,180.0,115.2,156.0,151.4,738.0,163.0,173.6,0.579,86.0,1401.4,335,1.007,1.4,77.6,0.0,32.0,6.0,53.6,34.2,7.3,2.5,1.2,1.0,0.2,595,401,373,277,204,191,173,168.0,,
2026-01-18,17088773650,Malaysia Trucking,230.29,450.3,1113.0,119.4,158.0,143.4,810.0,163.0,179.1,0.597,267.6,3875.1,926,1.05,7.6,61.9,0.0,116.0,16.0,55.2,25.2,11.1,5.1,2.1,1.1,0.3,645,422,329,279,252,232,209,199.0,,
2026-01-20,17109772074,Ouch……Mavricks Tuesdays 🚴‍♂️💨,72.67,122.3,288.0,144.4,185.0,196.5,1001.0,239.0,262.7,0.876,156.4,1434.3,343,1.192,27.0,0.0,50.6,124.0,51.0,48.4,14.2,8.4,7.8,6.8,8.1,6.3,971,624,422,394,344,329,281,257.0,,
2026-01-21,17121732209,“Who is that loud Australian in the bunch ride” 🫣,61.24,118.1,85.0,98.2,125.0,122.0,622.0,129.0,139.3,0.464,42.4,859.1,205,1.02,-8.2,90.0,0.0,16.0,0.0,71.9,18.6,4.9,2.5,1.0,1.0,0.1,494,245,213,182,160,157,142,140.0,,
2026-01-22,17133248785,Great people and great weather,43.21,96.0,418.0,110.3,170.0,146.9,1131.0,183.0,212.6,0.709,80.0,832.7,199,1.132,2.2,30.8,0.0,21.0,21.0,59.2,13.3,10.0,6.7,4.8,4.0,2.0,882,532,433,361,314,234,172,168.0,,
2026-01-24,17156409535,TDU Day#5 - Quantum chop followed by burgers and coffee at MAAP Lab 😍,165.06,274.3,1058.0,148.3,185.0,210.9,1051.0,240.0,263.6,0.879,353.4,3455.1,826,1.118,6.2,0.0,114.1,327.0,97.0,37.1,17.2,12.3,11.4,8.8,8.0,5.1,964,708,501,415,325,301,269,259.0,,
2026-01-25,17167774576,I guess Sunday PNS bulk is locked in now 🥳,160.97,299.9,496.0,117.7,164.0,149.4,779.0,161.0,182.1,0.607,184.3,2663.0,636,1.063,5.3,61.4,0.0,74.0,84.0,54.6,23.6,10.7,5.4,2.5,2.3,0.9,723,465,380,279,242,210,186,181.0,,
2026-01-27,17188087742,When you are 100% positive the meetup is at 5:30am 🤦‍♂️,59.37,114.7,624.0,137.8,174.0,202.4,744.0,246.0,267.7,0.892,152.5,1389.1,332,1.149,7.7,0.0,51.6,88.0,39.0,40.7,19.1,10.5,7.9,6.8,8.0,6.9,672,515,422,349,335,312,279,265.0,,
2026-01-28,17199826320,The best bunch ride of the week 🥳,61.22,118.7,91.0,100.8,143.0,111.4,971.0,127.0,144.2,0.481,45.8,800.0,191,1.054,-2.7,57.1,0.0,18.0,2.0,74.7,15.0,4.8,2.8,1.5,0.8,0.5,849,504,313,224,158,149,127,120.0,,
2026-01-29,17211114586,Punchy Thursdays,38.73,88.2,561.0,141.2,181.0,191.1,1604.0,256.0,268.8,0.896,117.4,1012.8,242,1.076,7.3,0.0,22.5,74.0,23.0,40.9,19.3,10.4,7.3,7.9,11.8,2.5,802,449,425,396,349,301,259,247.0,,
2026-01-30,17222029741,Fridays are popular - must be Rico’s coffee 🤭,35.98,80.4,218.0,99.8,136.0,119.1,477.0,136.0,157.4,0.525,36.6,561.7,134,1.036,-18.0,89.6,0.0,11.0,8.0,69.4,14.9,7.5,5.3,1.9,0.8,0.1,420,339,259,231,166,153,133,130.0,,
2026-01-31,17233652175,1x56t 🥳,162.83,271.3,1046.0,146.7,181.0,206.5,1013.0,235.0,253.7,0.846,322.0,3327.9,795,1.092,9.0,0.0,94.2,294.0,54.0,36.1,17.9,13.7,11.6,8.1,8.6,3.9,884,664,460,410,339,295,264,247.0,,
2026-02-01,17244657013,Bad legs but good coffee,65.34,138.6,110.0,108.5,144.0,140.6,499.0,154.0,158.1,0.527,63.8,1158.9,277,1.038,0.4,97.0,0.0,24.0,4.0,61.6,30.6,5.9,1.5,0.2,0.2,0.0,385,277,257,226,205,198,186,181.0,,
2026-02-03,17266037623,Solidified my reputation as always arriving late to the group meetup 🫣,46.2,83.8,426.0,146.8,182.0,223.4,1065.0,256.0,287.6,0.959,128.4,1115.5,267,1.124,4.4,0.0,29.0,96.0,41.0,38.0,13.3,10.5,11.1,9.3,8.9,8.9,834,603,483,411,367,333,313,280.0,,
2026-02-04,17278005198,West Coast Wednesdays,46.66,87.0,142.0,,,128.2,764.0,140.0,162.8,0.543,42.9,673.1,161,1.019,,64.4,0.0,,21.0,67.1,16.1,6.2,3.9,2.7,2.7,1.3,584,330,249,245,167,167,149,142.0,,
2026-02-07,17312611007,Singapore Sling Saturdays 💪,158.32,277.5,1034.0,143.0,187.0,190.5,1020.0,213.0,233.8,0.779,281.3,3161.5,756,1.103,8.6,0.0,29.1,249.0,17.0,38.3,22.5,16.5,10.2,5.1,4.9,2.4,925,596,446,399,299,301,247,242.0,,
2026-02-08,17324093583,MAAP MixUp - plus extras with Rico and Ollie,128.05,252.7,564.0,119.4,173.0,146.9,1262.0,165.0,188.2,0.627,166.2,2201.8,526,1.099,8.3,34.4,0.0,81.0,43.0,55.7,22.1,11.1,5.7,2.8,1.9,0.7,1107,568,410,343,254,256,205,202.0,,
2026-02-10,17344619868,"Get to the front, pull a turn, blow up, repeat 😵‍💫",52.18,87.4,149.0,,,211.6,1118.0,257.0,273.5,0.912,121.0,1109.0,265,1.131,,0.0,45.4,,15.0,38.0,23.1,9.3,7.0,6.3,8.0,8.2,1100,572,474,432,371,334,279,277.0,,
2026-02-11,17356802958,"Highway riding is still a novelty
🚴‍♂️💨",46.63,90.3,140.0,104.4,134.0,118.7,706.0,131.0,149.3,0.498,37.2,643.2,154,1.035,-10.4,83.6,0.0,14.0,1.0,70.9,18.5,4.6,3.1,1.8,0.9,0.1,514,389,265,201,171,165,139,131.0,,
2026-02-12,17368099382,I need to find some new friends 🥵,39.22,83.1,534.0,139.8,182.0,176.7,824.0,245.0,272.4,0.908,114.0,876.0,209,1.257,28.4,0.0,34.7,78.0,7.0,56.0,12.0,6.7,7.5,5.3,4.7,7.8,779,646,445,424,347,338,288,279.0,,
2026-02-13,17379372499,Been a while since my last Alex Edney rider brief 😁,34.02,70.8,81.0,97.8,127.0,0.4,180.0,9.0,11.2,0.037,0.2,1.6,0,0.164,,100.0,0.0,10.0,0.0,99.9,0.1,0.0,0.0,0.0,0.0,0.0,147,52,26,13,5,3,1,1.0,,
2026-02-14,17390228123,Valentine’s Day with the QRA train,162.9,273.1,849.0,144.2,181.0,194.8,980.0,231.0,247.7,0.826,309.6,3178.3,760,1.081,14.4,0.0,87.9,275.0,108.0,40.5,18.8,13.1,9.2,6.3,7.8,4.3,892,619,436,397,330,316,270,266.0,,
2026-02-15,17401585711,Easy Lovely - I’m hoping E/L rides catch on in Singapore,87.55,205.9,738.0,112.0,143.0,142.8,505.0,165.0,177.1,0.59,120.0,1770.2,423,0.986,0.3,90.2,0.0,40.0,10.0,50.7,30.0,11.9,5.0,1.7,0.7,0.0,461,300,269,248,229,199,181,178.0,,
2026-02-17,17423429563,CNY Day Rave 🥳,106.11,210.0,387.0,111.2,171.0,139.6,1062.0,165.0,181.2,0.604,127.9,1764.5,422,1.059,-1.5,53.6,0.0,45.0,49.0,59.2,21.2,9.4,5.4,2.7,1.3,0.7,698,472,364,361,282,254,205,190.0,,
2026-02-18,17435279879,3 Peaks Training Ride,91.42,233.4,1527.0,117.9,161.0,150.6,725.0,191.0,206.9,0.69,185.2,2112.6,505,1.004,9.7,50.5,0.0,70.0,22.0,48.9,20.4,15.0,8.0,3.9,2.9,0.9,614,460,362,345,287,238,194,185.0,,
2026-02-19,17444993963,Next Wednesday won’t be fun 🥵,43.35,100.5,424.0,111.2,172.0,142.0,672.0,184.0,204.9,0.683,78.0,852.7,204,1.134,-3.9,19.8,0.8,21.0,2.0,57.3,20.9,9.5,4.8,3.5,3.3,0.8,634,451,419,382,326,253,176,162.0,,
2026-02-21,17467247705,Sprinting to claim the KOM weekend points ahead of Ollie 😁,138.61,235.3,910.0,136.4,184.0,200.6,990.0,231.0,250.8,0.836,273.8,2814.5,673,1.135,7.7,0.0,25.4,155.0,36.0,37.3,19.0,15.2,11.6,8.1,6.5,2.4,934,803,641,452,363,338,288,270.0,,
2026-02-22,17478804850,When Kyle calls the park rangers to block off the segment 🤔,77.03,215.8,1536.0,126.9,180.0,159.8,1169.0,222.0,253.9,0.846,257.3,2061.3,493,1.229,0.2,0.0,6.4,86.0,10.0,44.6,26.0,17.1,6.0,3.1,2.1,1.1,1144,966,710,455,291,216,194,187.0,,
2026-02-25,17511933722,Dipping the toe in the water,38.24,97.3,769.0,137.0,180.0,186.8,659.0,250.0,270.1,0.9,131.4,1088.0,260,1.065,17.9,0.0,30.3,74.0,15.0,43.7,15.0,10.5,7.1,7.7,13.0,3.0,578,491,485,376,313,292,268,257.0,,
2026-02-28,17547869457,The hardest segment was just getting out of bed in the morning 😴,106.3,190.6,320.0,134.3,172.0,177.6,714.0,195.0,207.5,0.692,151.2,2009.2,480,1.05,7.2,33.5,0.0,109.0,31.0,39.3,30.8,13.6,8.3,4.5,2.9,0.6,653,397,370,357,274,263,238,221.0,,
2026-03-01,17559847335,Fabers and ECP Sunday Cruise,90.22,202.9,1128.0,141.3,185.0,186.3,790.0,218.0,233.4,0.778,204.8,2258.3,540,1.047,14.2,0.0,21.4,185.0,22.0,35.9,25.6,16.8,8.6,7.1,4.9,1.2,624,428,385,358,329,306,274,267.0,,
2026-03-03,17581670855,Tempo Tuesdays - excellent group as always 😁,52.4,87.5,142.0,142.4,182.0,183.1,946.0,222.0,248.8,0.829,100.5,959.4,229,1.182,12.8,0.0,43.7,81.0,12.0,51.0,20.4,7.1,5.4,3.9,4.7,7.5,879,650,506,390,334,292,240,229.0,,
2026-03-05,17607403552,Morning Ride,36.76,88.0,544.0,126.6,178.0,169.2,775.0,226.0,241.7,0.806,95.3,893.7,214,1.059,-7.8,0.0,3.2,41.0,2.0,45.5,17.7,12.9,9.2,7.4,5.7,1.5,730,535,462,394,318,249,209,201.0,,
2026-03-07,17631200700,Lazy Saturday,71.85,130.3,141.0,138.2,166.0,199.9,603.0,208.0,218.4,0.728,114.8,1555.1,372,0.985,5.4,73.3,0.0,88.0,19.0,20.6,35.4,29.6,9.5,2.8,1.8,0.4,529,359,327,297,278,268,244,232.0,,
2026-03-08,17643441995,Uncle Nath to the rescue,94.79,185.7,546.0,140.0,178.0,196.4,752.0,214.0,230.8,0.769,182.8,2164.1,517,1.032,16.4,22.3,0.4,152.0,34.0,27.9,26.0,24.8,11.6,5.3,3.4,1.0,684,522,461,407,348,270,233,220.0,,
2026-03-10,17666086932,"A not so tempo, tempo Tuesday 🥵",52.21,85.9,150.0,151.6,184.0,208.1,1093.0,251.0,274.7,0.916,120.0,1065.5,255,1.179,26.6,0.0,45.1,118.0,21.0,45.3,16.9,8.0,6.3,4.9,9.5,9.1,996,643,596,401,344,309,282,277.0,,
2026-03-11,17679330093,Social Wednesdays 🥳,61.2,113.7,87.0,102.6,134.0,130.7,563.0,137.0,151.3,0.504,48.3,887.3,212,1.032,0.9,85.8,0.0,17.0,10.0,67.8,19.7,6.4,3.0,1.6,1.2,0.2,525,351,258,208,182,180,156,147.0,,
2026-03-12,17691498927,Someone was on a new bike today 😁,34.38,74.1,383.0,123.7,175.0,165.0,1075.0,225.0,269.0,0.897,99.2,728.0,174,1.33,13.0,0.0,12.1,27.0,7.0,55.7,12.7,11.8,7.5,3.6,4.0,4.7,1012,866,634,425,310,252,198,196.0,,
2026-03-13,17702592711,Reco along the coast,39.71,75.5,79.0,127.0,149.0,186.2,637.0,198.0,207.1,0.69,59.9,838.4,200,1.016,2.1,86.3,0.0,28.0,3.0,26.3,37.6,25.9,7.2,1.8,0.9,0.3,484,320,281,248,239,229,223,215.0,,
2026-03-14,17714297155,QRA Saturday towing session 😍,129.07,222.2,882.0,142.2,180.0,188.8,931.0,213.0,231.3,0.771,219.2,2492.8,596,1.063,3.8,0.0,9.3,194.0,13.0,41.1,18.2,13.2,10.2,7.2,7.4,2.7,798,472,422,341,278,270,250,251.0,,
2026-03-15,17726092392,"Fantastic ride today. Lovely group to ride with, except for Ollie who attacked me for 4hrs",137.65,265.4,549.0,120.5,185.0,147.4,1339.0,193.0,228.7,0.762,257.6,2330.7,557,1.342,-1.8,0.4,10.8,94.0,11.0,58.9,19.7,10.1,5.1,2.7,2.0,1.6,1242,842,613,440,330,297,232,206.0,,
2026-03-17,17747970122,Tough Tuesdays 🤭,44.38,73.5,126.0,,,211.3,1004.0,256.0,277.8,0.926,105.4,927.5,222,1.158,,0.0,46.1,,7.0,44.6,11.7,8.9,7.8,7.5,11.0,8.6,909,659,460,415,341,316,280,276.0,,
