date,activity_id,activity_title,lap_index,lap_type,elapsed_s,timer_s,distance_km,avg_power,np,max_power,avg_hr,max_hr,avg_cadence,total_kj,ascent_m,intensity_factor,tss,pace_score,lap_uid,hrrc_bpm
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,1,RECOVERY,469.0,340.0,1.874,91.7,116.4,436.0,93.0,123.0,62.3,31.2,7.6,0.388,1.4,,16919035093_1,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,2,COOLDOWN,3578.0,3509.0,33.699,217.7,226.6,644.0,142.7,157.0,84.4,763.9,26.0,0.755,55.6,,16919035093_2,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,3,COOLDOWN,4106.0,3607.0,32.745,206.7,232.6,747.0,135.6,157.0,82.2,745.6,123.2,0.775,60.2,,16919035093_3,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,4,COOLDOWN,3451.0,3020.0,30.91,214.8,244.2,921.0,145.1,169.0,80.2,648.7,142.2,0.814,55.6,,16919035093_4,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,5,COOLDOWN,1231.0,1169.0,13.689,248.6,294.2,697.0,159.7,179.0,84.7,290.6,42.4,0.981,31.2,,16919035093_5,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,6,RECOVERY,2081.0,1021.0,7.205,128.4,154.6,601.0,127.1,147.0,69.4,131.1,19.4,0.515,7.5,,16919035093_6,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,7,COOLDOWN,3841.0,3841.0,22.695,186.5,241.0,503.0,150.9,175.0,76.9,716.3,651.0,0.803,68.9,,16919035093_7,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,8,RECOVERY,988.0,288.0,2.259,64.9,119.0,391.0,116.1,166.0,69.5,18.7,7.2,0.397,1.3,,16919035093_8,
2026-01-03,16919035093,How to tell when Nath is avoiding Friday night drinks with work colleagues 🫣,9,RECOVERY,870.0,652.0,5.428,169.8,199.4,642.0,139.5,158.0,73.9,110.7,13.8,0.665,8.0,,16919035093_9,
2026-01-04,16929931488,Another ride with Francois = another rinsing,2,COOLDOWN,5624.0,5275.0,47.907,184.0,207.2,610.0,136.7,159.0,80.2,970.6,40.8,0.691,69.9,,16929931488_2,
