date,logged_calories,logged_carbs_g,logged_fat_g,logged_protein_g,logged_fibre_g,logged_sugar_g,goal_calories,goal_carbs_g,goal_fat_g,goal_protein_g,foods_logged,food_detail
2026-01-03,,,,,,,5659,,,,0,
2026-01-04,,,,,,,5043,,,,0,
2026-01-05,,,,,,,2168,,,,0,
2026-01-06,,,,,,,3292,,,,0,
2026-01-07,,,,,,,3100,,,,0,
2026-01-08,,,,,,,2227,,,,0,
2026-01-09,,,,,,,2163,,,,0,
2026-01-10,,,,,,,5299,,,,0,
2026-01-11,,,,,,,3987,,,,0,
2026-01-12,,,,,,,2190,,,,0,
2026-01-13,,,,,,,3305,,,,0,
2026-01-14,,,,,,,3206,,,,0,
2026-01-15,,,,,,,3161,,,,0,
2026-01-16,,,,,,,2265,,,,0,
2026-01-17,,,,,,,3548,,,,0,
2026-01-18,,,,,,,5977,,,,0,
2026-01-19,,,,,,,2220,,,,0,
2026-01-20,,,,,,,3730,,,,0,
2026-01-21,,,,,,,3008,,,,0,
2026-01-22,,,,,,,3026,,,,0,
2026-01-23,,,,,,,2249,,,,0,
2026-01-24,,,,,,,5716,,,,0,
2026-01-25,,,,,,,4876,,,,0,
2026-01-26,,,,,,,2176,,,,0,
2026-01-27,,,,,,,3578,,,,0,
2026-01-28,,,,,,,3004,,,,0,
2026-01-29,,,,,,,3234,,,,0,
2026-01-30,,,,,,,3059,,,,0,
2026-01-31,,,,,,,5514,,,,0,
2026-02-01,373,52.5,4.3,34,6.3,16.7,4220,422,141,317,5,BREAKFAST:Bananas(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | SNACKS:Gold standard whey (120kcal) | DINNER:Soda Water(0kcal)
2026-02-02,1940,193.1,62,156.6,14.9,43.1,3066,307,103,230,18,BREAKFAST:Rocket(2kcal) | BREAKFAST:Poached Egg(74kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | SNACKS:Flat White(58kcal) | SNACKS:Espresso Coffee(1kcal) | LUNCH:Taco Salad(279kcal) | SNACKS:Sliced Ham(46kcal)
2026-02-03,359,25.6,23.8,13.8,7.5,7.3,4179,418,140,314,6,BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Rocket(2kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Poached Egg(74kcal) | BREAKFAST:Espresso Coffee(1kcal) | BREAKFAST:Avocados(160kcal)
2026-02-04,,,,,,,3657,366,122,274,0,
2026-02-05,,,,,,,3050,305,102,229,0,
2026-02-06,,,,,,,3013,302,101,226,0,
2026-02-07,,,,,,,6277,628,210,471,0,
2026-02-08,,,,,,,5165,517,173,388,0,
2026-02-09,,,,,,,3150,315,105,236,0,
2026-02-10,,,,,,,4258,426,143,320,0,
2026-02-11,,,,,,,3671,367,123,276,0,
2026-02-12,,,,,,,3936,394,132,295,0,
2026-02-13,,,,,,,3318,332,111,249,0,
2026-02-14,,,,,,,6192,620,207,465,0,
2026-02-15,,,,,,,4834,484,162,363,0,
2026-02-16,,,,,,,3096,310,104,232,0,
2026-02-17,,,,,,,4864,487,163,365,0,
2026-02-18,,,,,,,5784,579,194,434,0,
2026-02-19,,,,,,,3904,391,131,293,0,
